monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
86,1,0,0,0,0,0,0,1,2,0,0,1,0
100,2,1,0,1,1,2,2,5,22,1,0,3,0
56,4,2,0,2,1,0,0,10,7,1,0,0,0
67,2,1,0,1,1,2,1,6,2,1,0,0,0
40,3,1,0,1,1,2,1,8,24,1,0,1,0
47,1,0,0,0,0,0,1,6,143,4,0,3,0
43,2,1,0,1,1,2,1,6,14,0,0,1,0
64,3,1,0,1,1,2,1,12,6,9,1,1,0
78,3,3,0,3,1,20,1,16,52,100,10,0,0
31,6,5,0,4,1,20,2,20,79,85,11,1,0
42,1,0,0,1,1,0,0,7,12,29,2,2,0
51,2,2,0,2,1,8,1,19,114,44,4,1,1
55,5,3,0,3,1,18,1,22,80,49,10,3,0
32,1,1,1,0,0,4,2,10,53,47,4,1,2
78,2,0,0,0,0,0,2,32,144,73,7,0,0
34,3,4,2,1,1,49,3,24,81,144,10,3,0
39,3,2,0,2,1,16,1,17,55,84,5,1,1
25,3,4,0,2,1,12,2,10,38,102,11,1,1
13,4,3,1,3,1,16,2,8,25,209,12,1,2
14,4,6,1,3,1,36,0,11,37,169,17,1,0
27,4,5,2,4,1,60,3,29,99,127,17,0,0
10,2,2,0,1,1,4,2,9,37,148,13,3,0
5,2,2,0,1,1,24,2,12,55,155,18,0,0
82,2,3,0,1,1,7,2,12,38,126,15,1,3
13,4,2,0,3,1,9,0,12,25,129,12,1,1
53,4,3,3,2,1,21,2,14,61,142,16,0,0
32,3,2,1,1,1,17,2,12,63,105,19,0,0
131,3,1,0,2,1,18,2,11,41,203,15,2,0
2,2,3,0,2,1,15,8,7,54,187,21,0,1
57,5,7,0,5,1,31,6,32,115,182,22,2,2
46,7,8,1,7,1,52,5,65,401,183,25,0,2
54,2,3,2,1,1,25,6,29,107,206,18,1,0
46,6,7,2,5,1,40,5,33,111,240,29,2,0
14,3,3,0,2,1,14,7,27,83,207,19,0,1
25,5,6,0,4,1,102,8,25,101,235,37,1,2
25,9,9,1,8,1,43,10,33,122,263,24,1,1
