monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
184,7,0,0,0,0,0,0,14,21,0,0,0,1
250,8,21,1,14,5,64,1,16,26,35,6,0,0
115,7,17,1,16,5,37,0,20,17,5,1,0,2
130,5,14,0,17,5,38,0,21,29,9,0,1,2
112,8,19,2,17,5,62,0,20,38,7,4,0,1
112,5,21,2,17,3,25,0,22,28,12,2,0,1
142,4,9,1,10,3,7,1,11,7,4,2,0,0
318,7,26,1,27,4,55,0,35,45,4,2,0,0
123,6,20,0,20,4,30,0,25,25,4,0,0,0
35,2,1,0,1,1,13,0,2,11,2,1,0,0
115,5,14,0,15,4,41,0,20,31,4,1,1,0
76,4,11,0,11,3,24,1,11,14,1,0,0,0
97,4,12,0,12,3,20,0,13,10,2,1,0,0
61,5,6,0,4,3,14,0,5,7,3,0,0,0
107,4,9,0,10,4,27,1,15,29,3,0,1,0
19,4,10,0,7,3,77,0,9,26,0,5,0,1
14,4,5,0,5,4,11,1,6,4,5,1,0,2
197,7,13,1,14,4,70,0,17,64,2,0,0,0
180,7,9,2,8,2,7,0,11,5,2,0,0,0
18,4,3,0,4,2,2,0,4,2,0,1,0,1
70,5,5,0,5,4,2,0,5,1,0,1,1,3
80,3,8,1,7,3,0,0,10,2,0,0,0,0
68,5,20,3,17,3,20,1,21,11,3,0,0,1
68,3,8,0,8,3,10,1,8,6,2,2,0,0
70,5,18,1,14,4,17,1,17,30,4,4,0,1
41,6,6,0,7,3,13,0,8,9,2,2,0,1
24,3,7,1,5,3,7,0,6,0,8,2,0,1
52,7,13,1,7,4,34,0,9,15,5,5,0,0
111,6,12,1,15,5,52,0,17,40,2,0,0,0
60,7,7,0,9,3,2,0,11,4,6,1,0,0
5,2,1,0,1,1,0,0,1,0,3,0,1,0
6,3,3,0,2,2,13,0,2,5,1,4,1,2
37,4,4,0,5,4,3,1,5,3,5,1,0,0
39,5,12,2,12,2,13,0,14,11,4,0,0,0
37,3,5,0,5,2,6,0,5,3,9,0,0,0
17,2,5,0,5,2,0,1,5,1,7,1,0,0
1,1,0,0,0,0,0,0,0,0,2,0,0,0
16,1,2,0,2,1,0,0,4,4,3,1,0,0
66,2,10,0,9,2,4,1,10,2,6,1,0,0
82,4,11,0,12,3,6,0,12,4,5,0,0,0
29,4,11,0,8,2,7,0,8,2,5,3,0,1
129,4,9,0,10,3,11,0,10,7,6,2,0,0
